name	read_id	strand	align_score	neg_log_likelihood	subset_likelihood	repeat_likelihood	repeat_start	repeat_end	align_start	align_end	counts	freq	cluster_assignments	outlier	peak_calling_method
CGG_mouse3	3c6af32c-7385-49c3-93b2-a290cad70a5f	reverse	115	-1439.831	-154.42999999999995	-27.25	3578	3626	3430	3774	16.0	1		True	kde_throw_outliers
CGG_mouse3	829d0d06-2912-49f8-b6cf-6c3d6e7de52d	reverse	120	-1308.171	-63.71999999999992	-25.38900000000001	3606	3668	3458	3817	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	5e349050-aaa3-43ab-90ea-0bfd1af6e75d	forward	120	-1300.236	-61.06000000000006	-25.68700000000001	2813	2875	2665	3024	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	666deb81-ccfd-42ff-bc11-c547b9a7ca20	reverse	120	-1291.96	-47.231	-25.38800000000004	3572	3634	3422	3783	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	891b78b7-57a4-4ce9-9e69-4feacd01ffd0	reverse	120	-1332.105	-92.47000000000004	-25.38800000000004	3567	3629	3417	3777	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	11c3a3fb-33ee-4a56-8d11-3b17589b8aa4	forward	120	-1352.566	-108.36699999999996	-69.71300000000008	2804	2866	2659	3015	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	3b73095c-cfed-44da-9e5a-e3bf3849d427	reverse	120	-1297.168	-52.68999999999994	-25.38800000000004	3560	3622	3412	3771	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	26b99da1-8df6-4c1a-8de8-1b4bc46c8a87	forward	120	-1312.046	-69.39499999999998	-25.79500000000008	2849	2908	2710	3053	20.0	20		True	kde_throw_outliers
CGG_mouse3	3e8ca677-d88b-49f1-9bc3-54d00d54d98f	reverse	120	-1287.558	-42.827999999999975	-25.38900000000001	3558	3620	3408	3769	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	4b8d4de3-d7ef-4250-ad4f-e2794c9ef868	reverse	120	-1309.946	-67.827	-25.38800000000004	3555	3617	3405	3766	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	8de31e7c-f5f7-4e9c-acb3-a73505c22a22	reverse	120	-1323.602	-93.96000000000004	-25.38900000000001	3604	3666	3457	3820	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	52ed790c-7e34-4d92-b545-81a6b77e835e	reverse	120	-1341.401	-99.28099999999996	-42.726999999999975	3564	3631	3419	3778	22.0	19		True	kde_throw_outliers
CGG_mouse3	ba8af602-0438-454b-b1a0-9f6643f85e51	forward	120	-1302.745	-58.545999999999935	-25.68699999999989	2859	2921	2710	3068	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	85c51d04-6086-425c-aac2-93a0ee7f0126	reverse	120	-1287.558	-42.827999999999975	-25.38900000000001	3603	3665	3453	3814	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	df6d97c4-4936-4d42-9a87-f5b078b6d3b3	forward	120	-1294.65	-58.76800000000003	-25.686000000000035	2776	2838	2629	2984	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	8541361a-8a43-4a92-a0a3-ac2f24074fab	reverse	120	-1302.447	-57.71699999999999	-25.38800000000004	3565	3627	3417	3775	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	bb572ce2-5efb-4b78-a38c-663e5739574d	reverse	120	-1297.774	-70.21000000000004	-25.38799999999992	3563	3625	3417	3772	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	f4093ee8-b809-4ee6-9650-197c9eb63227	forward	120	-1299.289	-59.247999999999934	-25.68699999999989	2845	2907	2696	3055	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	cba54d68-2173-45c5-a9c8-d1c9e9ceaf47	reverse	120	-1301.385	-63.42500000000007	-25.38799999999992	3565	3627	3417	3776	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	f8d06973-69e0-488e-b137-1dab68a30509	forward	120	-1303.643	-63.60299999999995	-24.948999999999955	2852	2911	2706	3061	20.0	20		True	kde_throw_outliers
CGG_mouse3	0e17f0f3-d4e3-43d5-87f2-7dc3a2e3a4b0	forward	120	-1302.967	-58.76800000000003	-25.68699999999989	2822	2884	2673	3032	21.0	124	3.0	False	kde_throw_outliers
